uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
14,0,4269226,0,2010-12-19 | 4269226,2010-12-19T00:00:00,15
28,0,4278043,0,2010-12-19 | 4278043,2010-12-19T00:00:00,35
27,0,429202,0,2010-12-19 | 429202,2010-12-19T00:00:00,27
17,0,4302318,0,2010-12-19 | 4302318,2010-12-19T00:00:00,23
12,0,4302443,0,2010-12-19 | 4302443,2010-12-19T00:00:00,13
12,0,430851,0,2010-12-19 | 430851,2010-12-19T00:00:00,12
14,0,4354366,0,2010-12-19 | 4354366,2010-12-19T00:00:00,15
3,1,4382042,1,2010-12-19 | 4382042,2010-12-19T00:00:00,3
30,1,4427579,1,2010-12-19 | 4427579,2010-12-19T00:00:00,49
43,0,4499781,0,2010-12-19 | 4499781,2010-12-19T00:00:00,56
37,0,4501311,0,2010-12-19 | 4501311,2010-12-19T00:00:00,61
40,0,4515124,0,2010-12-19 | 4515124,2010-12-19T00:00:00,50
35,0,4537678,0,2010-12-19 | 4537678,2010-12-19T00:00:00,51
1,0,4552302,0,2010-12-19 | 4552302,2010-12-19T00:00:00,1
37,0,4557525,0,2010-12-19 | 4557525,2010-12-19T00:00:00,45
10,0,4559911,0,2010-12-19 | 4559911,2010-12-19T00:00:00,10
28,0,4561403,0,2010-12-19 | 4561403,2010-12-19T00:00:00,38
30,0,4572451,0,2010-12-19 | 4572451,2010-12-19T00:00:00,50
37,0,4579353,0,2010-12-19 | 4579353,2010-12-19T00:00:00,53
20,0,4582409,0,2010-12-19 | 4582409,2010-12-19T00:00:00,26
37,0,4583472,0,2010-12-19 | 4583472,2010-12-19T00:00:00,46
35,0,4697764,0,2010-12-19 | 4697764,2010-12-19T00:00:00,46
9,0,470491,0,2010-12-19 | 470491,2010-12-19T00:00:00,9
44,0,4717512,0,2010-12-19 | 4717512,2010-12-19T00:00:00,57
10,0,4730845,0,2010-12-19 | 4730845,2010-12-19T00:00:00,11
42,0,4753686,0,2010-12-19 | 4753686,2010-12-19T00:00:00,64
38,0,4764590,0,2010-12-19 | 4764590,2010-12-19T00:00:00,51
30,0,4804357,0,2010-12-19 | 4804357,2010-12-19T00:00:00,38
39,0,4827120,0,2010-12-19 | 4827120,2010-12-19T00:00:00,61
5,0,48281,0,2010-12-19 | 48281,2010-12-19T00:00:00,5
33,0,4832793,0,2010-12-19 | 4832793,2010-12-19T00:00:00,41
68,0,4850155,0,2010-12-19 | 4850155,2010-12-19T00:00:00,88
30,0,4876096,0,2010-12-19 | 4876096,2010-12-19T00:00:00,50
23,0,4922115,0,2010-12-19 | 4922115,2010-12-19T00:00:00,31
8,0,493509,0,2010-12-19 | 493509,2010-12-19T00:00:00,8
35,0,4960697,0,2010-12-19 | 4960697,2010-12-19T00:00:00,42
66,0,4960906,0,2010-12-19 | 4960906,2010-12-19T00:00:00,82
35,1,5003365,1,2010-12-19 | 5003365,2010-12-19T00:00:00,49
9,0,508885,0,2010-12-19 | 508885,2010-12-19T00:00:00,9
18,0,5094767,0,2010-12-19 | 5094767,2010-12-19T00:00:00,23
20,0,55232,0,2010-12-19 | 55232,2010-12-19T00:00:00,21
8,0,572758,0,2010-12-19 | 572758,2010-12-19T00:00:00,8
9,0,611736,0,2010-12-19 | 611736,2010-12-19T00:00:00,9
14,0,64003,0,2010-12-19 | 64003,2010-12-19T00:00:00,14
4,0,660771,0,2010-12-19 | 660771,2010-12-19T00:00:00,4
15,0,680644,0,2010-12-19 | 680644,2010-12-19T00:00:00,16
8,0,742542,0,2010-12-19 | 742542,2010-12-19T00:00:00,10
30,0,744696,0,2010-12-19 | 744696,2010-12-19T00:00:00,37
4,0,749968,0,2010-12-19 | 749968,2010-12-19T00:00:00,4
37,0,763642,0,2010-12-19 | 763642,2010-12-19T00:00:00,49
24,0,83989,0,2010-12-19 | 83989,2010-12-19T00:00:00,25
8,0,843848,0,2010-12-19 | 843848,2010-12-19T00:00:00,8
6,0,844707,0,2010-12-19 | 844707,2010-12-19T00:00:00,6
22,0,879576,0,2010-12-19 | 879576,2010-12-19T00:00:00,23
8,0,887198,0,2010-12-19 | 887198,2010-12-19T00:00:00,8
12,0,891126,0,2010-12-19 | 891126,2010-12-19T00:00:00,13
12,0,901653,0,2010-12-19 | 901653,2010-12-19T00:00:00,12
4,0,909936,0,2010-12-19 | 909936,2010-12-19T00:00:00,4
9,1,922746,1,2010-12-19 | 922746,2010-12-19T00:00:00,10
21,0,925371,0,2010-12-19 | 925371,2010-12-19T00:00:00,31
4,0,989827,0,2010-12-19 | 989827,2010-12-19T00:00:00,4
13,0,100438,0,2010-12-20 | 100438,2010-12-20T00:00:00,13
27,0,1014390,0,2010-12-20 | 1014390,2010-12-20T00:00:00,28
46,0,1066667,0,2010-12-20 | 1066667,2010-12-20T00:00:00,53
37,0,1082106,0,2010-12-20 | 1082106,2010-12-20T00:00:00,42
13,0,1120937,0,2010-12-20 | 1120937,2010-12-20T00:00:00,14
92,0,1125529,0,2010-12-20 | 1125529,2010-12-20T00:00:00,103
43,0,1126457,0,2010-12-20 | 1126457,2010-12-20T00:00:00,48
32,0,1127758,0,2010-12-20 | 1127758,2010-12-20T00:00:00,34
11,0,1138456,0,2010-12-20 | 1138456,2010-12-20T00:00:00,12
39,0,1150073,0,2010-12-20 | 1150073,2010-12-20T00:00:00,43
39,0,117717,0,2010-12-20 | 117717,2010-12-20T00:00:00,42
35,0,1191479,0,2010-12-20 | 1191479,2010-12-20T00:00:00,38
41,0,1192925,0,2010-12-20 | 1192925,2010-12-20T00:00:00,43
37,0,1202129,0,2010-12-20 | 1202129,2010-12-20T00:00:00,40
67,0,1203537,0,2010-12-20 | 1203537,2010-12-20T00:00:00,79
44,0,1209712,0,2010-12-20 | 1209712,2010-12-20T00:00:00,52
9,0,1223577,0,2010-12-20 | 1223577,2010-12-20T00:00:00,9
29,0,1236834,0,2010-12-20 | 1236834,2010-12-20T00:00:00,34
46,0,1237754,0,2010-12-20 | 1237754,2010-12-20T00:00:00,53
32,0,1240364,0,2010-12-20 | 1240364,2010-12-20T00:00:00,34
57,0,1241858,0,2010-12-20 | 1241858,2010-12-20T00:00:00,63
22,0,1276998,0,2010-12-20 | 1276998,2010-12-20T00:00:00,24
44,0,1286763,0,2010-12-20 | 1286763,2010-12-20T00:00:00,47
10,0,1297266,0,2010-12-20 | 1297266,2010-12-20T00:00:00,10
60,0,1297525,0,2010-12-20 | 1297525,2010-12-20T00:00:00,67
44,0,1307334,0,2010-12-20 | 1307334,2010-12-20T00:00:00,48
42,1,1314412,1,2010-12-20 | 1314412,2010-12-20T00:00:00,50
5,0,1325831,0,2010-12-20 | 1325831,2010-12-20T00:00:00,5
56,0,1326984,0,2010-12-20 | 1326984,2010-12-20T00:00:00,64
18,0,1361264,0,2010-12-20 | 1361264,2010-12-20T00:00:00,19
31,0,13630,0,2010-12-20 | 13630,2010-12-20T00:00:00,32
16,0,1364255,0,2010-12-20 | 1364255,2010-12-20T00:00:00,17
39,0,1364936,0,2010-12-20 | 1364936,2010-12-20T00:00:00,42
