id,name,category,action,label,totalEvents,uniqueEvents,eventValue
1681171,KIIS FM,brands,unfollowed,1681171,1,1,0
1689524,The Expendables,brands,unfollowed,1689524,1,1,0
169961,National Wildlife F.,brands,unfollowed,169961,1,1,0
1747041,KidsClubThirteen,brands,unfollowed,1747041,1,1,0
1747442,azcentral,brands,unfollowed,1747442,1,1,0
1772284,Bridgestone Arena,brands,unfollowed,1772284,1,1,0
1781832,Cooking Channel,brands,unfollowed,1781832,1,1,0
1833119,American InterContinental University,brands,unfollowed,1833119,1,1,0
1838040,Juicy Couture,brands,unfollowed,1838040,1,1,0
1839337,Los Angeles Times,brands,unfollowed,1839337,1,1,0
202873,CrainsChicago,brands,unfollowed,202873,1,1,0
2111540,Catawba County,brands,unfollowed,2111540,1,1,0
211360,SFGate,brands,unfollowed,211360,1,1,0
226060,Grand Valley State University,brands,unfollowed,226060,1,1,0
2270881,Hershey Harrisburg,brands,unfollowed,2270881,1,1,0
2277218,Chargers,brands,unfollowed,2277218,1,1,0
2295370,MichiganGoBlue,brands,unfollowed,2295370,1,1,0
2373886,Laurentian,brands,unfollowed,2373886,1,1,0
2380335,Advertising Week,brands,unfollowed,2380335,1,1,0
238086,Explore Chicago,brands,unfollowed,238086,1,1,0
2389346,Monoprix,brands,unfollowed,2389346,1,1,0
2407305,Berkeley College,brands,unfollowed,2407305,1,1,0
2407886,Dover Business C.,brands,unfollowed,2407886,1,1,0
2465098,Rice U.,brands,unfollowed,2465098,1,1,0
2485302,Crain's New York Business,brands,unfollowed,2485302,1,1,0
2502541,Epicurious,brands,unfollowed,2502541,1,1,0
2536922,Telegraph,brands,unfollowed,2536922,1,1,0
2538162,Cal,brands,unfollowed,2538162,1,1,0
2540211,Volcom Entertainment,brands,unfollowed,2540211,1,1,0
2611536,The New Yorker,brands,unfollowed,2611536,1,1,0
2619087,TravelOK,brands,unfollowed,2619087,1,1,0
2670635,Theory,brands,unfollowed,2670635,1,1,0
268329,GreenShoelace G.,brands,unfollowed,268329,1,1,0
2727581,Sailing Spoken Here,brands,unfollowed,2727581,1,1,0
2732144,Drake University,brands,unfollowed,2732144,1,1,0
2782786,Metro.co.uk,brands,unfollowed,2782786,1,1,0
2792304,Lord & Taylor,brands,unfollowed,2792304,1,1,0
2814921,UW-Madison,brands,unfollowed,2814921,1,1,0
282219,Bravo,brands,unfollowed,282219,1,1,0
2924803,Washington R.,brands,unfollowed,2924803,1,1,0
2928225,SkyMall,brands,unfollowed,2928225,1,1,0
3049802,ecomagination,brands,unfollowed,3049802,1,1,0
3086675,Jeep,brands,unfollowed,3086675,1,1,0
3107021,DailyCandy,brands,unfollowed,3107021,1,1,0
311503,AskMen.com,brands,unfollowed,311503,1,1,0
3225840,Vogue,brands,unfollowed,3225840,1,1,0
322698,Bon Appetit Magazine,brands,unfollowed,322698,1,1,0
3228004,TouchdownRundown,brands,unfollowed,3228004,1,1,0
3230661,LIVESTRONG_COM,brands,unfollowed,3230661,1,1,0
3300943,ExtraTV,brands,unfollowed,3300943,1,1,0
